,Line_Lyrics
5600,so come on come on come on
5601,lets get physical
5602,adrenaline keeps on rushing in
5603,love the simulation were dreaming in
5604,dont you agree 
5605,dont you agree 
5606,i dont wanna live another life
5607,cause this ones pretty nice
5608,living it up
5609,who needs
5610,who needs sleep 
5611,all night ill riot with you
5612,i know you got my back and you know i got you
5613,so come on come on come on 
5614,lets get physical
5615,lights out follow the noise
5616,baby keep on dancing like you aint got a choice
5617,so come on come on come on 
5618,lets get physical
5619,hold on just a little tighter
5620,come on hold on tell me if youre ready
5621,come on
5622,baby keep on dancing
5623,lets get physical
5624,hold on just a little tighter
5625,come on hold on tell me if youre ready
5626,come on 
5627,baby keep on dancing
5628,lets get physical
5629,all night ill riot with you
5630,i know you got my back and you know i got you
5631,so come on come on come on 
5632,lets get physical
5633,lights out follow the noise
5634,baby keep on dancing like you aint got a choice
5635,so come on come on come on 
5636,lets get physical 
5637,lets get physical 
5638,physical 
5639,lets get physical 
5640,come on phy phy phy physical
5641,lets get physical 
5642,physical 
5643,lets get physical 
5644,come on phy phy phy physical
5645,i just left my man at home
5646,me and my girls are about to go
5647,get our freaky sexy on
5648,on on
5649,you know i secured the bag
5650,the good intentions never last
5651,i m about to spend my cash
5652,ah ah
5653,so lets just move to the beat now
5654,nothing you do could change my mood
5655,couple drinks down my energy is out the roof
5656,i like it just trust and light the fuse
5657,hey hey hey
5658,im a fire starter gotta set the alarm off
5659,make ya hot and i got you in a cold sweat
5660,got you drippin wet make ya 
5661,i m a fire starter gotta set the alarm off
5662,makе ya hot and i got you in a cold sweat
5663,got you drippin wet make ya 
5664,i likе the way i make em dance
5665,future nostalgia on blast
5666,mystikal so shake that ass ah ah
5667,so let s just move to the beat now
5668,nothing you do could change my mood
5669,couple drinks down my energy is out the roof
5670,i like it just trust and light the fuse
5671,hey hey hey
5672,im a fire starter gotta set the alarm off
5673,make ya hot and i got you in a cold sweat
5674,got you drippin wet make ya 
5675,im a fire starter gotta set the alarm off
5676,make ya hot and i got you in a cold sweat
5677,got you drippin wet make ya 
5678,make ya 
5679,hey ladies 
5680,can i get a little side to side 
5681,can i get a little side to side 
5682,can i get a little side to side 
5683,hey fellas 
5684,can i get a little shoulder lean 
5685,can i get a little shoulder lean 
5686,can i get a little shoulder lean 
5687,hahahah
5688,im a fire starter gotta set the alarm off
5689,make ya hot and i got you in a cold sweat
5690,got you drippin wet make ya 
5691,im a fire starter gotta set the alarm off
5692,make ya hot and i got you in a cold sweat
5693,got you drippin wet make ya 
5694,im a fire starter gotta set the alarm off
5695,make ya hot and i got you in a cold sweat
5696,got you drippin wet make ya 
5697,im a fire starter gotta set the alarm off
5698,make ya hot and i got you in a cold sweat
5699,got you drippin wet make ya
5700,blame it on the night
5701,one too many at the dive
5702,saw you called a thousand times
5703,can t talk about it won t talk about it
5704,danced until i cried
5705,took a hit and got too high
5706,started questioning my life
5707,let s not talk about it won t talk about it
5708,i m waking up to messages
5709,don t recognize the name
5710,i m wondering who the f it is
5711, cause i don t know any janes
5712,somebody next to me in my bed
5713,hold up wait this isn t my bed
5714,telling myself never again again
5715, i don t know what happened to my friends
5716, or where i been
5717, and i can t tell you how this story ends
5718,and i can t pretend
5719,blame it on the night
5720,one too many at the dive
5721,saw you called a thousand times
5722,can t talk about it won t talk about it
5723,danced until i cried
5724,took a hit and got too high
5725,started questioning my life
5726,let s not talk about it won t talk about it
5727,ooh ooh ooh ooh ooh
5728,ooh ooh ooh ooh ooh
5729,ooh ooh ooh ooh ooh
5730,can t talk about it won t talk about it
5731,ooh ooh ooh ooh ooh
5732,ooh ooh ooh ooh ooh
5733,ooh ooh ooh ooh ooh
5734,can t talk about it won t talk about it
5735,how am i in the club again 
5736,said i was staying in 
5737,having another heart to heart
5738,with someone that i just met 
5739,and the next thing that i know 
5740,is i wake up in my clothes 
5741,and the voice inside my head 
5742,says never again again
5743, i don t know what happened to my friends
5744, or where i been 
5745,and i can t tell you how this story ends
5746,and i can t pretend 
5747,blame it on the night
5748,one too many at the dive
5749,saw you called a thousand times
5750,can t talk about it won t talk about it
5751,danced until i cried
5752,took a hit and got too high
5753,started questioning my life
5754,let s not talk about it won t talk about it
5755,ooh ooh ooh ooh ooh
5756,ooh ooh ooh ooh ooh
5757,ooh ooh ooh ooh ooh
5758,can t talk about it won t talk about it
5759,ooh ooh ooh ooh ooh
5760,ooh ooh ooh ooh ooh
5761,ooh ooh ooh ooh ooh
5762,can t talk about it won t talk about it
5763,blame it on the night blame the alcohol
5764,blame anyone you like cause i can t be held responsible
5765,blame it on the night blame the alcohol
5766,blame anyone you like cause i can t be held responsible
5767,blame it on the night
5768,one too many at the dive
5769,saw you called a thousand times
5770,can t talk about it won t talk about it
5771,danced until i cried
5772,took a hit and got too high
5773,started questioning my life
5774,let s not talk about it won t talk about it
5775,ooh ooh ooh ooh ooh
5776,ooh ooh ooh ooh ooh
5777,ooh ooh ooh ooh ooh
5778,can t talk about it won t talk about it
5779,ooh ooh ooh ooh ooh
5780,ooh ooh ooh ooh ooh
5781,ooh ooh ooh ooh ooh
5782,can t talk about it won t talk about it
5783,wait a minute uh
5784,you came to me without warning
5785,and i was unprepared
5786,losing all my intuition tryna act like i don t care
5787,i m so lost in all this madness
5788,so im throwing up a flare
5789,but you know baby i m a problem
5790,tryna act like im not scared
5791,caught me in ways that i cant explain
5792,you got me questioning all my faith
5793,i m so confused
5794,thought i could handle this tidal wave
5795,hit me so hard i got slipped away into you
5796,act of god don t know how it started
5797,now im boutta lose at all but i can t control it
5798,i could try to run away but i know i won t be safe
5799, cause i know there is no cheating my fate
5800,act of god cause i can t control it
5801,wait a minute uh
5802,i m lifted my god
5803,and the ways we move
5804,like the thing on the hood of my car 
5805,got me lifted 
5806,act of god 
5807,lay my hands on me ooh
5808,set my soul on fire 
5809,could this be a revelation 
5810,tell me is this what i need 
5811, cause all this divine intervention
5812,i m starting to believe
5813,is this all an accident or is this by design 
5814,i know i didn t ask for it
5815,but now i need it to be mine 
5816,caught me in ways that i can t explain
5817,you got me questioning all my faith
5818,i m so confused 
5819,thought i could handle the tidal wave
5820,hit me so hard i got swept away into you
5821,act of god don t know how it started
5822,no im boutta lose at all but i can t control it
5823,i could try to run away but i know i won t be safe
5824, cause i know there is no cheating my fate
5825,act of god cause i can t control it
5826,wait a minute uh
5827,i m scared of the fall
5828,scared of losing it all losing my way
5829,it s my way or nothing
5830,but you give me something i just can t explain
5831,but then i got lost lost in you babe
5832,got lost in your ways and nothing can save me
5833,nothing can save me
5834,act of god don t know how it started
5835,no im boutta lose at all but i can t control it
5836,i could try to run away but i know i won t be safe
5837, cause i know there is no cheating my fate
5838,act of god cause i can t control it
5839,wait a minute uh
5840,i m lifted my god
5841,and the ways we move
5842,like the thing on the hood of my car 
5843,got me lifted 
5844,act of god 
